                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     89,                0.85031,                0.59763,                0.98264,                0.77873,                0.61819,                0.69374,                0.40575,                 1.3982,                0.91977,                 1.2064,               0.007096,               0.007096,               0.007096
                     90,                0.85335,                0.59987,                0.98508,                0.78475,                0.60513,                0.69152,                0.40371,                 1.4036,                0.91275,                 1.2129,               0.007063,               0.007063,               0.007063
                     91,                0.85713,                0.60295,                0.98786,                0.76175,                0.61947,                0.68737,                0.40078,                 1.3936,                0.92127,                 1.2099,                0.00703,                0.00703,                0.00703
                     92,                0.84465,                0.59284,                0.98087,                0.76391,                0.62411,                 0.6882,                0.40355,                 1.4056,                0.91512,                 1.2161,               0.006997,               0.006997,               0.006997
                     93,                0.84452,                0.59432,                 0.9825,                0.76424,                 0.6308,                0.69521,                0.40541,                 1.3921,                0.91343,                 1.2101,               0.006964,               0.006964,               0.006964
                     94,                0.85212,                0.60196,                0.98456,                0.76289,                0.62117,                0.69252,                0.40491,                 1.3994,                0.90938,                 1.2139,               0.006931,               0.006931,               0.006931
                     95,                0.84888,                0.59853,                0.98282,                0.76239,                0.61965,                0.68935,                0.40697,                 1.3928,                0.91616,                 1.2061,               0.006898,               0.006898,               0.006898
                     96,                 0.8323,                0.58395,                0.97877,                0.76796,                0.62347,                 0.6956,                0.41067,                 1.3936,                0.91837,                 1.2004,               0.006865,               0.006865,               0.006865
                     97,                0.84644,                0.58842,                0.97984,                0.75882,                0.62226,                0.69317,                0.40607,                 1.3824,                0.90805,                 1.2042,               0.006832,               0.006832,               0.006832
                     98,                0.83035,                0.58744,                0.97877,                0.76919,                0.61925,                0.69255,                0.40413,                 1.3909,                0.91929,                 1.2069,               0.006799,               0.006799,               0.006799
                     99,                0.84012,                0.58613,                0.98403,                0.78049,                 0.6136,                0.69132,                 0.4056,                   1.39,                0.92207,                 1.2057,               0.006766,               0.006766,               0.006766
                    100,                0.83677,                0.59013,                0.97878,                0.77887,                0.62478,                0.69951,                0.40912,                 1.3822,                0.90951,                 1.2024,               0.006733,               0.006733,               0.006733
                    101,                0.82299,                0.57873,                0.97093,                 0.7683,                0.63091,                0.69987,                0.41243,                 1.3881,                0.90846,                 1.1994,                 0.0067,                 0.0067,                 0.0067
                    102,                0.82705,                0.60201,                0.97233,                0.77107,                 0.6274,                0.69778,                0.41367,                  1.373,                0.89485,                 1.1984,               0.006667,               0.006667,               0.006667
                    103,                0.82525,                0.58265,                0.97025,                0.78096,                0.62798,                0.70119,                  0.414,                 1.3745,                 0.8916,                 1.1979,               0.006634,               0.006634,               0.006634
                    104,                0.83127,                0.57907,                0.97421,                0.77925,                0.62547,                 0.7029,                0.41623,                 1.3651,                0.89573,                 1.1939,               0.006601,               0.006601,               0.006601
                    105,                0.83595,                 0.5871,                0.97605,                0.77823,                0.63556,                0.70494,                 0.4163,                 1.3721,                 0.8892,                 1.1963,               0.006568,               0.006568,               0.006568
                    106,                0.81606,                0.57498,                0.97096,                0.78339,                0.63396,                0.70544,                0.41771,                 1.3688,                0.89022,                 1.1998,               0.006535,               0.006535,               0.006535
                    107,                0.82021,                 0.5742,                0.97214,                0.76833,                0.63352,                0.69999,                0.41408,                 1.3808,                0.90078,                 1.1977,               0.006502,               0.006502,               0.006502
                    108,                0.82438,                0.57998,                0.97272,                0.76094,                0.63226,                0.70123,                0.41515,                 1.3735,                0.88924,                 1.1973,               0.006469,               0.006469,               0.006469
                    109,                0.81771,                  0.571,                0.97267,                0.78467,                0.61737,                0.70235,                 0.4148,                 1.3743,                 0.8959,                 1.1959,               0.006436,               0.006436,               0.006436
                    110,                0.80472,                0.56473,                0.96447,                0.78555,                0.62863,                0.70369,                0.41597,                 1.3725,                0.88339,                 1.1999,               0.006403,               0.006403,               0.006403
                    111,                0.80484,                0.56114,                0.96885,                0.77355,                0.63232,                0.70359,                0.41659,                 1.3675,                0.87816,                 1.1968,                0.00637,                0.00637,                0.00637
                    112,                0.82428,                0.57501,                0.97488,                 0.7717,                0.63481,                0.70508,                0.41523,                 1.3625,                0.88449,                 1.1934,               0.006337,               0.006337,               0.006337
                    113,                0.81842,                0.56619,                0.97022,                0.77513,                0.63485,                0.70195,                0.41646,                 1.3611,                 0.8826,                 1.1916,               0.006304,               0.006304,               0.006304
                    114,                0.81026,                0.56416,                0.96727,                0.76476,                0.63642,                0.70413,                0.41796,                 1.3708,                0.88206,                 1.1929,               0.006271,               0.006271,               0.006271
                    115,                0.81152,                0.56438,                 0.9677,                0.78643,                0.62852,                0.70752,                0.41938,                 1.3601,                0.87272,                 1.1914,               0.006238,               0.006238,               0.006238
                    116,                0.80856,                0.56188,                0.96961,                0.78284,                0.62767,                 0.7061,                0.41968,                  1.364,                0.87551,                 1.1943,               0.006205,               0.006205,               0.006205
                    117,                0.80062,                0.56356,                0.96308,                 0.7798,                0.63276,                0.70712,                0.41982,                 1.3517,                0.87571,                 1.1878,               0.006172,               0.006172,               0.006172
                    118,                0.80933,                0.56047,                0.96613,                0.78633,                 0.6293,                 0.7084,                0.41957,                 1.3613,                0.87747,                 1.1997,               0.006139,               0.006139,               0.006139
                    119,                0.81777,                0.57202,                0.97475,                0.78075,                0.63142,                0.70396,                0.41735,                 1.3681,                0.88897,                 1.1943,               0.006106,               0.006106,               0.006106
                    120,                0.79115,                0.54839,                0.96632,                 0.7832,                0.62191,                0.70659,                0.42014,                 1.3642,                0.87271,                 1.1989,               0.006073,               0.006073,               0.006073
                    121,                0.81577,                0.56709,                0.96992,                0.78575,                 0.6249,                0.70561,                0.42015,                 1.3569,                 0.8757,                 1.1892,                0.00604,                0.00604,                0.00604
                    122,                0.79196,                0.55503,                0.96014,                0.77235,                0.64534,                0.71053,                0.42273,                 1.3556,                0.87558,                 1.1885,               0.006007,               0.006007,               0.006007
                    123,                 0.7994,                 0.5572,                0.96374,                0.76836,                 0.6429,                0.70458,                0.41972,                 1.3596,                 0.8818,                 1.1911,               0.005974,               0.005974,               0.005974
                    124,                0.77079,                0.53655,                0.95569,                0.77406,                 0.6419,                0.70791,                0.42154,                 1.3558,                0.86624,                 1.1913,               0.005941,               0.005941,               0.005941
                    125,                0.79404,                0.55101,                0.96508,                0.77763,                0.63097,                0.70556,                 0.4208,                 1.3596,                0.87228,                 1.1914,               0.005908,               0.005908,               0.005908
                    126,                  0.792,                0.55235,                0.95813,                0.78702,                0.63035,                0.70622,                0.41829,                 1.3702,                 0.8719,                 1.1967,               0.005875,               0.005875,               0.005875
                    127,                0.78754,                0.54918,                0.96037,                0.78758,                0.62887,                0.70373,                0.41851,                 1.3586,                0.87351,                 1.1919,               0.005842,               0.005842,               0.005842
                    128,                0.80705,                 0.5761,                0.97306,                0.77174,                 0.6386,                0.70699,                 0.4221,                 1.3508,                0.86367,                 1.1839,               0.005809,               0.005809,               0.005809
                    129,                0.78305,                0.54788,                0.96187,                0.79296,                0.63663,                0.70829,                0.42327,                 1.3488,                0.86419,                 1.1817,               0.005776,               0.005776,               0.005776
                    130,                0.78274,                0.53961,                0.95784,                0.78558,                 0.6445,                0.70909,                0.42338,                 1.3579,                0.86102,                 1.1864,               0.005743,               0.005743,               0.005743
                    131,                0.78632,                0.54704,                 0.9581,                0.78643,                0.64449,                  0.714,                0.42476,                 1.3593,                0.85396,                 1.1888,                0.00571,                0.00571,                0.00571
                    132,                0.78109,                0.54052,                0.95828,                0.78393,                 0.6392,                0.71531,                0.42544,                   1.35,                0.84777,                 1.1866,               0.005677,               0.005677,               0.005677
                    133,                0.79656,                0.55381,                0.96369,                0.78291,                0.64534,                0.71403,                0.42162,                 1.3568,                0.84969,                 1.1909,               0.005644,               0.005644,               0.005644
                    134,                 0.7859,                0.54635,                 0.9561,                0.79436,                0.63571,                0.71029,                 0.4204,                 1.3539,                0.85478,                  1.192,               0.005611,               0.005611,               0.005611
                    135,                 0.7876,                0.54321,                0.96185,                0.78555,                0.63983,                0.70992,                0.42085,                 1.3533,                0.85963,                 1.1866,               0.005578,               0.005578,               0.005578
                    136,                0.77327,                0.54131,                0.95725,                0.77483,                0.64325,                0.71015,                 0.4206,                 1.3559,                0.86226,                 1.1879,               0.005545,               0.005545,               0.005545
                    137,                0.78368,                0.54204,                0.95802,                0.78763,                0.63823,                0.71416,                0.42436,                 1.3535,                0.85353,                 1.1875,               0.005512,               0.005512,               0.005512
                    138,                0.79154,                0.55033,                0.96168,                0.78295,                0.63796,                0.71468,                 0.4257,                 1.3504,                0.85854,                 1.1856,               0.005479,               0.005479,               0.005479
                    139,                0.77277,                0.53627,                0.95642,                0.79146,                0.63949,                0.71583,                 0.4287,                 1.3446,                0.85022,                 1.1874,               0.005446,               0.005446,               0.005446
                    140,                0.78464,                 0.5487,                 0.9601,                0.78579,                0.63908,                0.71514,                0.42881,                 1.3418,                0.85012,                 1.1811,               0.005413,               0.005413,               0.005413
                    141,                0.78527,                0.54471,                0.96381,                0.78083,                0.65191,                0.71766,                0.42972,                 1.3401,                0.85074,                 1.1801,                0.00538,                0.00538,                0.00538
                    142,                0.77402,                0.53288,                0.95924,                0.79498,                0.64309,                0.71896,                0.42887,                 1.3457,                0.85056,                  1.181,               0.005347,               0.005347,               0.005347
                    143,                0.76854,                0.53417,                0.95009,                 0.7806,                0.64916,                0.71823,                0.42963,                 1.3389,                0.84346,                 1.1793,               0.005314,               0.005314,               0.005314
                    144,                0.76817,                0.52984,                0.94794,                 0.7778,                0.65351,                0.71851,                0.42918,                 1.3429,                0.84038,                 1.1794,               0.005281,               0.005281,               0.005281
                    145,                0.77292,                0.53535,                0.95407,                0.79769,                0.64021,                0.71809,                0.42953,                  1.345,                0.84137,                 1.1816,               0.005248,               0.005248,               0.005248
                    146,                0.77002,                0.52292,                0.94677,                0.80194,                0.64116,                0.71792,                0.43045,                 1.3381,                0.84084,                 1.1757,               0.005215,               0.005215,               0.005215
                    147,                0.76473,                0.52401,                0.95282,                0.79263,                 0.6406,                0.71759,                0.43075,                 1.3357,                0.84518,                 1.1733,               0.005182,               0.005182,               0.005182
                    148,                0.75714,                0.52772,                0.95466,                0.79648,                0.64946,                0.72306,                0.43287,                 1.3336,                0.84012,                  1.178,               0.005149,               0.005149,               0.005149
                    149,                0.77072,                0.53257,                 0.9547,                0.80236,                0.64122,                0.72102,                0.43107,                 1.3392,                0.84007,                 1.1768,               0.005116,               0.005116,               0.005116
                    150,                0.76725,                0.52954,                0.95184,                0.79831,                0.64664,                0.72302,                0.43171,                 1.3413,                 0.8432,                 1.1773,               0.005083,               0.005083,               0.005083
                    151,                0.76238,                0.51732,                0.95288,                0.79356,                0.65049,                0.72389,                0.43309,                 1.3377,                0.83837,                 1.1774,                0.00505,                0.00505,                0.00505
                    152,                0.75106,                0.51793,                0.94568,                0.79612,                0.64589,                0.72278,                 0.4334,                  1.335,                0.83979,                 1.1727,               0.005017,               0.005017,               0.005017
