                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     46,                0.91021,                0.64865,                 1.0088,                0.75975,                0.59344,                 0.6726,                0.38813,                 1.4419,                0.97457,                 1.2283,             0.00092435,             0.00092435,             0.00092435
                     47,                0.89784,                0.64678,                 1.0048,                 0.7611,                0.60733,                0.67209,                0.39033,                 1.4346,                0.96798,                 1.2388,             0.00090785,             0.00090785,             0.00090785
                     48,                0.89346,                0.64379,                  1.002,                0.73991,                0.59638,                 0.6619,                0.38187,                 1.4461,                 0.9881,                 1.2342,             0.00089134,             0.00089134,             0.00089134
                     49,                0.88848,                0.63815,                 1.0012,                0.76988,                0.59663,                0.67182,                0.39185,                 1.4317,                 0.9607,                 1.2254,             0.00087484,             0.00087484,             0.00087484
                     50,                0.86635,                0.62173,                0.99032,                0.76602,                0.60053,                 0.6721,                0.38628,                 1.4322,                0.96778,                 1.2329,             0.00085834,             0.00085834,             0.00085834
                     51,                0.89488,                0.62715,                0.99928,                0.77024,                0.60706,                0.68229,                0.39864,                 1.4191,                0.94123,                 1.2273,             0.00084184,             0.00084184,             0.00084184
                     52,                0.88999,                0.64085,                 1.0016,                0.77231,                0.59263,                0.67469,                0.39274,                 1.4285,                0.95619,                 1.2246,             0.00082533,             0.00082533,             0.00082533
                     53,                0.87004,                0.61563,                0.99135,                0.78153,                  0.598,                0.68046,                0.39574,                 1.4081,                0.93826,                 1.2183,             0.00080883,             0.00080883,             0.00080883
                     54,                 0.8634,                0.61513,                0.99522,                0.77239,                0.60428,                0.68028,                0.39719,                 1.4139,                 0.9399,                  1.222,             0.00079233,             0.00079233,             0.00079233
                     55,                0.85881,                0.60903,                0.98343,                0.76306,                0.60344,                0.67955,                0.39868,                 1.3963,                0.94138,                 1.2093,             0.00077582,             0.00077582,             0.00077582
                     56,                0.85785,                0.60991,                0.99105,                0.76815,                0.60469,                0.68234,                0.40064,                  1.392,                0.94242,                  1.203,             0.00075932,             0.00075932,             0.00075932
                     57,                0.85055,                0.60185,                 0.9861,                0.76141,                0.61145,                0.68653,                0.40343,                 1.3911,                0.91553,                 1.2099,             0.00074282,             0.00074282,             0.00074282
                     58,                0.84675,                0.59868,                0.98442,                0.76901,                0.60602,                0.68804,                0.40478,                 1.3991,                0.92435,                 1.2064,             0.00072631,             0.00072631,             0.00072631
                     59,                0.84742,                0.59599,                0.98342,                0.76271,                0.60681,                0.68823,                0.40781,                 1.3845,                0.92266,                 1.2035,             0.00070981,             0.00070981,             0.00070981
